Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,,Organic Fertilizer
26,52,38,Sandy,Maize,37,0,0,Urea,,compost and animal manure
29,52,45,Loamy,Sugarcane,12,0,36,DAP,,compost and animal manure
34,65,62,Black,Cotton,7,9,30,14-35-14,,poultry manure
32,62,34,Red,Tobacco,22,0,20,28-28,,Kelp and fish emulsion
28,54,46,Clayey,Paddy,35,0,0,Urea,,compost and animal manure
26,52,35,Sandy,Barley,12,10,13,17-17-17,,Kelp and fish emulsion
25,50,64,Red,Cotton,9,0,10,20-20,,Green Manure
33,64,50,Loamy,Wheat,41,0,0,Urea,,compost and animal manure
30,60,42,Sandy,Millets,21,0,18,28-28,,compost and greensand
29,58,33,Black,Oil seeds,9,7,30,14-35-14,,Green Manure
27,54,28,Clayey,Pulses,13,0,40,DAP,,Green Manure
31,62,48,Sandy,Maize,14,15,12,17-17-17,,vermicompost and banana peels
25,50,65,Loamy,Cotton,36,0,0,Urea,,compost and animal manure
32,62,41,Clayey,Paddy,24,0,22,28-28,,Green Manure
26,52,31,Red,Ground Nuts,14,0,41,DAP,,Bone meal and wood Ash
31,62,49,Black,Sugarcane,10,13,14,17-17-17,,vermicompost and banana peels
33,64,34,Clayey,Pulses,38,0,0,Urea,,compost and animal manure
25,50,39,Sandy,Barley,21,0,19,28-28,,Bone meal and wood Ash
28,54,65,Black,Cotton,39,0,0,Urea,,compost and animal manure
29,58,52,Loamy,Wheat,13,0,36,DAP,,Green Manure
30,60,44,Sandy,Millets,10,0,9,20-20,,Bone meal and wood Ash
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17,,vermicompost and banana peels
35,68,33,Red,Tobacco,11,0,37,DAP,,Bone meal and wood Ash
28,54,37,Black,Millets,36,0,0,Urea,,compost and animal manure
33,64,39,Clayey,Paddy,13,0,10,20-20,,Kelp and fish emulsion
26,52,44,Sandy,Maize,23,0,20,28-28,,Green Manure
30,60,63,Red,Cotton,9,9,29,14-35-14,,Bone meal and wood Ash
